wl,Vlambda,Vprime,Vlambda/mac,Scone/mac,Melanopsin,Scone,ybar
572.000000000,0.938633706,0.187600000,0.930557584,0.000528485,0.048400000,0.001400000,0.938499200
573.000000000,0.931111828,0.178300000,0.922887898,0.000498171,0.045300000,0.001320000,0.931162800
574.000000000,0.923589950,0.169000000,0.915221743,0.000467871,0.042300000,0.001240000,0.923457600
575.000000000,0.915363171,0.160350000,0.906860763,0.000439471,0.039500000,0.001165000,0.915400000
576.000000000,0.907136393,0.151700000,0.898503392,0.000411084,0.036800000,0.001090000,0.907006400
577.000000000,0.898234317,0.143750000,0.889481154,0.000381202,0.034400000,0.001011000,0.898277200
578.000000000,0.889332241,0.135800000,0.880463070,0.000351334,0.032000000,0.000932000,0.889204800
579.000000000,0.879728465,0.128500000,0.870754595,0.000322045,0.029800000,0.000854500,0.879781600
580.000000000,0.870124688,0.121200000,0.861050588,0.000292769,0.027800000,0.000777000,0.870000000
581.000000000,0.859819212,0.114500000,0.850067835,0.000292499,0.025900000,0.000777000,0.859861300
582.000000000,0.849513736,0.107800000,0.839105323,0.000292230,0.024100000,0.000777000,0.849392000
583.000000000,0.838606822,0.101700000,0.827569474,0.000291961,0.022400000,0.000777000,0.838622000
584.000000000,0.827699909,0.095600000,0.816054846,0.000291692,0.020800000,0.000777000,0.827581300
585.000000000,0.816304976,0.090050000,0.804080668,0.000291424,0.019300000,0.000777000,0.816300000
586.000000000,0.804910044,0.084500000,0.792125120,0.000291155,0.017900000,0.000777000,0.804794700
587.000000000,0.793107002,0.079500000,0.779790348,0.000290887,0.016600000,0.000777000,0.793082000
588.000000000,0.781303961,0.074500000,0.767478287,0.000290619,0.015400000,0.000777000,0.781192000
589.000000000,0.769206227,0.070000000,0.754899664,0.000290352,0.014300000,0.000777000,0.769154700
590.000000000,0.757108494,0.065500000,0.742344158,0.000290085,0.013300000,0.000777000,0.757000000
591.000000000,0.744817932,0.061450000,0.730293274,0.000290085,0.012300000,0.000777000,0.744754100
592.000000000,0.732527371,0.057400000,0.718242391,0.000290085,0.011400000,0.000777000,0.732422400
593.000000000,0.720062635,0.053800000,0.706020729,0.000290085,0.010500000,0.000777000,0.720003600
594.000000000,0.707597899,0.050200000,0.693799067,0.000290085,0.009760000,0.000777000,0.707496500
595.000000000,0.694957437,0.047000000,0.681405106,0.000290085,0.009030000,0.000777000,0.694900000
596.000000000,0.682316976,0.043800000,0.669011146,0.000290085,0.008350000,0.000777000,0.682219200
597.000000000,0.669542745,0.040980000,0.656486025,0.000290085,0.007720000,0.000777000,0.669471600
598.000000000,0.656768515,0.038160000,0.643960904,0.000290085,0.007150000,0.000777000,0.656674400
599.000000000,0.643929475,0.035655000,0.631372238,0.000290085,0.006610000,0.000777000,0.643844800
600.000000000,0.631090435,0.033150000,0.618783571,0.000290085,0.006110000,0.000777000,0.631000000
601.000000000,0.618245794,0.030945000,0.606189413,0.000261151,0.005650000,0.000699500,0.618155500
602.000000000,0.605401153,0.028740000,0.593595255,0.000232217,0.005220000,0.000622000,0.605314400
603.000000000,0.592561064,0.026805000,0.581005559,0.000203097,0.004830000,0.000544000,0.592475600
604.000000000,0.579720974,0.024870000,0.568415863,0.000173976,0.004460000,0.000466000,0.579637900
605.000000000,0.566880734,0.023170000,0.555826020,0.000145043,0.004120000,0.000388500,0.566800000
606.000000000,0.554040494,0.021470000,0.543236177,0.000116109,0.003800000,0.000311000,0.553961100
607.000000000,0.541234509,0.019990000,0.530679921,0.000086988,0.003510000,0.000233000,0.541137200
608.000000000,0.528428524,0.018510000,0.518123665,0.000057868,0.003250000,0.000155000,0.528352800
609.000000000,0.515750307,0.017220000,0.505692685,0.000028934,0.003000000,0.000077500,0.515632300
610.000000000,0.503072090,0.015930000,0.493261705,0.000000000,0.002770000,0.000000000,0.503000000
611.000000000,0.490585501,0.014810000,0.481018617,0.000000000,0.002560000,0.000000000,0.490468800
612.000000000,0.478098912,0.013690000,0.468775528,0.000000000,0.002360000,0.000000000,0.478030400
613.000000000,0.465783547,0.012720000,0.456700325,0.000000000,0.002180000,0.000000000,0.465677600
614.000000000,0.453468182,0.011750000,0.444625121,0.000000000,0.002010000,0.000000000,0.453403200
615.000000000,0.441304839,0.010910000,0.432698975,0.000000000,0.001860000,0.000000000,0.441200000
616.000000000,0.429141496,0.010070000,0.420772829,0.000000000,0.001720000,0.000000000,0.429080000
617.000000000,0.417115773,0.009345000,0.408981618,0.000000000,0.001580000,0.000000000,0.417036000
618.000000000,0.405090049,0.008620000,0.397190408,0.000000000,0.001460000,0.000000000,0.405032000
619.000000000,0.393072327,0.007995000,0.385407043,0.000000000,0.001350000,0.000000000,0.393032000
620.000000000,0.381054605,0.007370000,0.373623677,0.000000000,0.001250000,0.000000000,0.381000000
621.000000000,0.368966473,0.006835000,0.361771275,0.000000000,0.001160000,0.000000000,0.368918400
622.000000000,0.356878340,0.006300000,0.349918873,0.000000000,0.001070000,0.000000000,0.356827200
623.000000000,0.344871820,0.005840000,0.338146491,0.000000000,0.000986000,0.000000000,0.344776800
624.000000000,0.332865299,0.005380000,0.326374109,0.000000000,0.000912000,0.000000000,0.332817600
625.000000000,0.321123867,0.004985000,0.314861646,0.000000000,0.000843000,0.000000000,0.321000000
626.000000000,0.309382435,0.004590000,0.303349183,0.000000000,0.000779000,0.000000000,0.309338100
627.000000000,0.298008555,0.004251500,0.292197104,0.000000000,0.000721000,0.000000000,0.297850400
628.000000000,0.286634675,0.003913000,0.281045026,0.000000000,0.000667000,0.000000000,0.286593600
629.000000000,0.275836327,0.003624000,0.270457256,0.000000000,0.000617000,0.000000000,0.275624500
630.000000000,0.265037980,0.003335000,0.259869487,0.000000000,0.000571000,0.000000000,0.265000000
631.000000000,0.254981338,0.003088500,0.250008960,0.000000000,0.000529000,0.000000000,0.254763200
632.000000000,0.244924697,0.002842000,0.240148432,0.000000000,0.000490000,0.000000000,0.244889600
633.000000000,0.235504948,0.002631500,0.230912377,0.000000000,0.000454000,0.000000000,0.235334400
634.000000000,0.226085198,0.002421000,0.221676322,0.000000000,0.000420000,0.000000000,0.226052800
635.000000000,0.217138316,0.002241500,0.212903912,0.000000000,0.000390000,0.000000000,0.217000000
636.000000000,0.208191433,0.002062000,0.204131502,0.000000000,0.000361000,0.000000000,0.208161600
637.000000000,0.199687015,0.001909500,0.195792928,0.000000000,0.000335000,0.000000000,0.199548800
