658,12.61,11.68,8.39,6.46,5.3,4.22,7.54,21.44,14.62
659,12.38,11.47,8.22,6.33,5.19,4.09,7.01,21.24,14.46
660,12.15,11.26,8.04,6.21,5.08,3.98,6.54,21.03,14.31
661,11.92,11.05,7.87,6.08,4.97,3.87,6.14,20.81,14.14
662,11.69,10.85,7.7,5.96,4.86,3.77,5.8,20.59,13.97
663,11.47,10.64,7.53,5.84,4.76,3.67,5.49,20.37,13.8
664,11.24,10.44,7.37,5.72,4.65,3.57,5.19,20.14,13.62
665,11.02,10.24,7.2,5.6,4.55,3.48,4.95,19.91,13.45
666,10.8,10.04,7.04,5.49,4.45,3.39,4.73,19.68,13.27
667,10.58,9.84,6.88,5.38,4.35,3.31,4.54,19.44,13.1
668,10.37,9.64,6.72,5.27,4.25,3.23,4.34,19.19,12.92
669,10.16,9.45,6.57,5.16,4.15,3.15,4.17,18.95,12.75
670,9.95,9.25,6.42,5.05,4.06,3.07,4.01,18.69,12.57
671,9.74,9.05,6.27,4.95,3.96,3,3.87,18.43,12.38
672,9.53,8.86,6.12,4.84,3.87,2.93,3.73,18.17,12.19
673,9.33,8.67,5.97,4.74,3.78,2.86,3.6,17.92,12.01
674,9.13,8.49,5.83,4.64,3.7,2.79,3.48,17.66,11.83
675,8.93,8.3,5.69,4.54,3.61,2.73,3.37,17.39,11.64
676,8.74,8.12,5.55,4.44,3.53,2.66,3.27,17.12,11.45
677,8.55,7.94,5.42,4.34,3.45,2.6,3.16,16.85,11.26
678,8.36,7.76,5.28,4.24,3.37,2.54,3.06,16.58,11.07
679,8.17,7.59,5.15,4.15,3.29,2.48,2.98,16.31,10.88
680,7.98,7.42,5.02,4.05,3.22,2.42,2.89,16.05,10.69
681,7.8,7.25,4.9,3.96,3.14,2.37,2.81,15.79,10.51
682,7.62,7.08,4.77,3.87,3.07,2.31,2.73,15.5,10.32
683,7.45,6.92,4.65,3.78,3,2.26,2.65,15.22,10.13
684,7.27,6.75,4.53,3.7,2.93,2.2,2.58,14.95,9.96
685,7.1,6.6,4.42,3.62,2.86,2.15,2.51,14.69,9.78
686,6.93,6.44,4.3,3.54,2.79,2.1,2.44,14.42,9.59
687,6.77,6.29,4.19,3.46,2.72,2.05,2.38,14.16,9.41
688,6.61,6.15,4.09,3.38,2.66,2,2.31,13.9,9.23
689,6.45,6,3.98,3.3,2.6,1.96,2.24,13.63,9.05
690,6.3,5.85,3.88,3.23,2.54,1.91,2.18,13.36,8.87
691,6.15,5.71,3.77,3.15,2.48,1.87,2.12,13.1,8.7
692,6,5.57,3.68,3.08,2.42,1.82,2.06,12.83,8.52
693,5.85,5.43,3.58,3.01,2.37,1.78,2.01,12.55,8.34
694,5.71,5.3,3.48,2.94,2.31,1.74,1.96,12.29,8.16
695,5.57,5.17,3.39,2.87,2.26,1.7,1.92,12.04,8
696,5.43,5.04,3.29,2.79,2.2,1.66,1.86,11.79,7.83
697,5.29,4.91,3.2,2.73,2.15,1.62,1.81,11.53,7.66
698,5.16,4.79,3.12,2.66,2.1,1.58,1.76,11.29,7.5
699,5.02,4.67,3.03,2.59,2.05,1.54,1.71,11.04,7.33
700,4.89,4.55,2.95,2.53,2,1.5,1.67,10.8,7.17
701,4.76,4.43,2.86,2.47,1.95,1.46,1.61,10.56,7
702,4.63,4.31,2.79,2.41,1.9,1.43,1.56,10.32,6.84
703,4.51,4.2,2.71,2.35,1.85,1.39,1.53,10.09,6.68
704,4.38,4.09,2.63,2.3,1.8,1.36,1.49,9.85,6.53
705,4.26,3.99,2.56,2.24,1.75,1.33,1.44,9.62,6.37
706,4.15,3.88,2.49,2.19,1.71,1.3,1.4,9.4,6.21
707,4.04,3.78,2.42,2.14,1.66,1.27,1.37,9.17,6.06
708,3.93,3.68,2.35,2.08,1.62,1.24,1.32,8.96,5.92
709,3.82,3.58,2.28,2.03,1.58,1.21,1.29,8.75,5.79
710,3.72,3.49,2.22,1.99,1.54,1.18,1.25,8.54,5.65
711,3.62,3.39,2.15,1.94,1.51,1.15,1.22,8.34,5.52
712,3.53,3.3,2.09,1.89,1.47,1.12,1.18,8.14,5.39
713,3.43,3.21,2.03,1.85,1.43,1.1,1.14,7.95,5.26
714,3.34,3.12,1.97,1.8,1.4,1.07,1.11,7.75,5.14
715,3.25,3.04,1.92,1.76,1.36,1.05,1.09,7.57,5.01
716,3.16,2.96,1.86,1.71,1.33,1.02,1.05,7.39,4.89
717,3.07,2.88,1.81,1.67,1.29,1,1.02,7.19,4.76
718,2.99,2.8,1.75,1.63,1.26,0.97,1,7.01,4.65
719,2.91,2.72,1.7,1.59,1.23,0.95,0.97,6.85,4.54
720,2.83,2.65,1.65,1.55,1.2,0.93,0.93,6.68,4.42
721,2.76,2.57,1.6,1.51,1.17,0.91,0.92,6.5,4.3
722,2.68,2.51,1.56,1.47,1.14,0.88,0.89,6.33,4.19
723,2.61,2.44,1.51,1.44,1.11,0.86,0.86,6.17,4.08
724,2.54,2.37,1.47,1.4,1.08,0.85,0.84,6.02,3.98
725,2.47,2.31,1.43,1.37,1.05,0.83,0.82,5.86,3.88
726,2.4,2.25,1.38,1.33,1.03,0.81,0.79,5.71,3.77
727,2.34,2.18,1.34,1.3,1,0.79,0.76,5.57,3.67
728,2.27,2.13,1.31,1.27,0.98,0.77,0.75,5.42,3.57
729,2.21,2.07,1.27,1.24,0.95,0.76,0.73,5.27,3.48
