520,11.220,7.160,4.990,3.410,10.960,6.600,12.780,12.770,10.480,1.590,0.890,0.600
521,11.176,7.205,5.068,3.488,10.949,6.684,12.745,12.769,10.513,1.543,0.858,0.585
522,11.137,7.257,5.156,3.575,10.944,6.777,12.709,12.763,10.544,1.506,0.833,0.578
523,11.102,7.319,5.253,3.672,10.946,6.880,12.672,12.752,10.574,1.480,0.819,0.582
524,11.073,7.389,5.361,3.781,10.955,6.995,12.636,12.738,10.602,1.467,0.818,0.598
525,11.050,7.470,5.480,3.900,10.970,7.120,12.600,12.720,10.630,1.470,0.830,0.630
526,11.033,7.563,5.610,4.033,10.993,7.260,12.565,12.701,10.659,1.486,0.854,0.682
527,11.023,7.666,5.752,4.178,11.024,7.411,12.532,12.679,10.688,1.524,0.897,0.754
528,11.019,7.780,5.906,4.336,11.062,7.575,12.500,12.655,10.718,1.587,0.964,0.846
529,11.021,7.905,6.072,4.507,11.107,7.752,12.469,12.629,10.749,1.678,1.057,0.961
530,11.030,8.040,6.250,4.690,11.160,7.940,12.440,12.600,10.780,1.801,1.180,1.101
531,11.045,8.186,6.441,4.886,11.220,8.142,12.414,12.570,10.813,1.996,1.373,1.290
532,11.068,8.342,6.646,5.095,11.289,8.356,12.391,12.537,10.848,2.230,1.601,1.509
533,11.098,8.510,6.864,5.319,11.365,8.582,12.369,12.503,10.884,2.522,1.881,1.777
534,11.135,8.689,7.095,5.557,11.448,8.820,12.348,12.468,10.921,2.944,2.278,2.159
535,11.180,8.880,7.340,5.810,11.540,9.070,12.330,12.430,10.960,3.696,2.978,2.831
536,11.233,9.083,7.600,6.078,11.641,9.332,12.311,12.389,10.999,5.236,4.418,4.190
537,11.294,9.297,7.873,6.363,11.750,9.605,12.295,12.346,11.040,8.382,7.401,6.923
538,11.364,9.523,8.161,6.664,11.866,9.890,12.280,12.304,11.083,14.304,13.106,12.003
539,11.443,9.760,8.463,6.983,11.990,10.185,12.269,12.261,11.130,24.122,22.703,20.336
540,11.530,10.010,8.780,7.320,12.120,10.490,12.260,12.220,11.180,38.075,36.514,32.084
541,11.631,10.277,9.118,7.686,12.259,10.809,12.258,12.183,11.237,54.589,53.021,45.900
542,11.741,10.555,9.469,8.069,12.404,11.138,12.259,12.148,11.299,70.106,68.641,58.831
543,11.858,10.842,9.831,8.468,12.554,11.473,12.263,12.114,11.363,80.142,78.782,67.191
544,11.982,11.137,10.203,8.880,12.708,11.814,12.269,12.081,11.430,81.495,80.130,68.377
545,12.701,11.926,11.078,9.996,13.600,12.665,13.336,13.022,12.407,74.224,72.725,62.463
546,103.353,90.113,88.094,87.358,99.623,88.622,112.088,109.995,105.550,107.053,109.317,110.081
547,19.915,18.512,17.733,16.102,20.548,19.167,21.028,20.480,19.760,53.396,52.091,47.030
548,12.517,12.364,11.755,10.615,13.346,13.209,12.311,11.956,11.716,41.117,39.511,35.073
549,12.659,12.679,12.154,11.067,13.509,13.561,12.325,11.927,11.792,36.203,34.850,30.767
550,12.804,12.997,12.557,11.526,13.672,13.912,12.341,11.900,11.870,32.096,30.991,27.167
551,12.949,13.314,12.961,11.987,13.834,14.261,12.358,11.874,11.948,26.387,25.430,22.379
552,13.097,13.633,13.366,12.454,13.995,14.609,12.376,11.849,12.028,19.246,18.359,16.482
553,13.246,13.952,13.773,12.925,14.156,14.953,12.396,11.827,12.110,12.636,11.806,10.977
554,13.397,14.271,14.181,13.400,14.314,15.294,12.417,11.807,12.194,8.075,7.318,7.096
555,13.550,14.590,14.590,13.880,14.470,15.630,12.440,11.790,12.280,5.643,4.956,4.968
556,13.708,14.911,15.003,14.369,14.624,15.963,12.466,11.779,12.369,4.560,3.925,4.005
557,13.865,15.229,15.416,14.859,14.775,16.290,12.493,11.771,12.460,4.086,3.484,3.597
558,14.023,15.544,15.825,15.351,14.922,16.609,12.522,11.765,12.553,3.814,3.233,3.386
559,14.178,15.855,16.230,15.842,15.064,16.920,12.551,11.762,12.646,3.592,3.027,3.227
560,14.330,16.160,16.630,16.330,15.200,17.220,12.580,11.760,12.740,3.380,2.830,3.080
561,14.476,16.459,17.023,16.817,15.329,17.509,12.609,11.758,12.834,3.175,2.634,2.941
562,14.618,16.750,17.408,17.298,15.452,17.785,12.638,11.758,12.929,2.977,2.445,2.808
563,14.754,17.031,17.782,17.771,15.566,18.048,12.666,11.760,13.023,2.791,2.267,2.683
564,14.885,17.302,18.143,18.232,15.673,18.297,12.693,11.764,13.117,2.621,2.104,2.570
565,15.010,17.560,18.490,18.680,15.770,18.530,12.720,11.770,13.210,2.470,1.960,2.470
566,15.129,17.803,18.818,19.109,15.858,18.746,12.745,11.779,13.302,2.342,1.834,2.359
567,15.241,18.032,19.129,19.521,15.936,18.945,12.769,11.791,13.392,2.242,1.736,2.275
568,15.344,18.245,19.422,19.915,16.002,19.125,12.791,11.804,13.480,2.172,1.672,2.225
569,15.437,18.441,19.696,20.288,16.057,19.287,12.812,11.821,13.566,2.137,1.649,2.221
570,15.520,18.620,19.950,20.640,16.100,19.430,12.830,11.840,13.650,2.140,1.670,2.270
571,15.582,18.770,20.172,20.954,16.122,19.542,12.845,11.863,13.729,2.179,1.748,2.420
572,15.635,18.905,20.377,21.249,16.133,19.637,12.858,11.889,13.805,2.265,1.882,2.634
573,15.680,19.025,20.564,21.526,16.134,19.715,12.869,11.916,13.879,2.405,2.074,2.912
574,15.715,19.130,20.733,21.784,16.125,19.777,12.878,11.945,13.951,2.603,2.328,3.254
